town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Rockport,17.3,0.247,8.6,-0.095,5.8,5.5,620.0,8.6,9.5,474.5,14.7,0.121,4.3,29.6,78,5.8,1.4,44,1456,3.5,2931,53.9,1.23,36,21.6,1.4,61.9,14.4,8.3,50.3,2.1,2.14,36.5,22.9,7.5,37199 ,-0.03,0.7,12.9,20,51.8,50.7,6.6,-0.097,21.4,22.4,187,21.4,6.4,0.64,0.008,21,0.196,15484,15,93.4,53.9,-0.072,46.1,0.0,8.7,0.942,6.8,5147,5400,93.2,72438 ,0.23,349,2.9,4.2,5789,0.29,medium blue
Rowe,0.0,0.005,0.0,0.063,0.0,7.6,356.2,,11.7,427.5,,0.0,76.3,30.5,581,,0.0,41,3341,12.7,7625,52.2,1.37,105,15.0,0.0,121.8,0,0.0,38.4,4.4,2.35,26.3,33.1,10.1,31529 ,-0.05,2.5,,,56.7,74.3,8.8,0.75,53.4,12.0,69,,0.9,0.97,0.003,,0.469,,0,19,17.8,-0.094,45.5,888.3,4.4,0.969,3.2,1125,1341,96.8,60796 ,0.24,499,0.0,,290,0.17,light blue
Rowley,22.2,0.131,5.1,-0.115,12.0,8.4,618.2,11.9,10.1,448.8,,0.071,5.1,74.6,40,5.1,1.7,54.4,1351,8.9,2475,50.5,2.73,68,5.4,3.4,86.9,6.8,14.4,14.9,3.6,2.69,18.6,16.3,5.5,37557 ,0.01,0.2,18.8,17,45.7,88.3,,0.084,33,28.3,220,22.1,8.9,2.31,0.008,29,0.132,,8,84.6,46.3,,37.7,0.0,3.4,0.931,3.9,5089,5244,96.1,,,431,12.0,6.7,4533,1.08,red
Royalston,0.0,0.026,0.0,-0.023,7.9,9.5,286.2,,11.4,445.9,,,15.9,15.9,40,,0.0,33.8,448,3.2,1207,50.2,3.71,45,7.4,0.0,198.1,7.9,0.0,35.8,3.5,2.53,26.1,20.4,4.3,22745 ,0.21,0.8,23.8,8,46,91.4,,0.696,62,34.1,56,7.9,4.7,0.5,0.003,,0.068,,3,95,34.2,,31.5,420.0,11.1,1.0,,,1953,85.3,,,493,7.9,,877,0.48,red
Russell,5.6,0.076,0.0,-0.064,0.0,13.5,445.1,,11.4,354.9,,0.0,16.9,110.4,29,,0.0,62.5,1110,8.5,1776,50.8,2.96,53,6.5,0.0,159.9,5.6,90.1,25.5,5.7,2.7,16.3,7.1,7.5,23800 ,-0.01,0,22.5,11,38.7,76.1,,0.587,41.1,36.6,17,,1,0.37,0.001,,0.073,,6,87.8,25.9,,29,281.5,7.9,0.857,8.6,3646,3699,91.5,,,436,5.6,,1023,0.27,red
Rutland,10.0,0.113,2.5,-0.153,10.0,11.0,299.8,60.0,9,400.9,,0.063,3.8,54.7,23,1.3,1.3,54.7,1046,4.9,1891,50.5,1.24,24,6.2,0.0,104.7,1.3,9.6,13.7,4.7,2.85,19.1,16.3,3.2,30925 ,0.08,0.4,12.5,3,39.4,98.7,,0.127,24.5,36.5,83,11.2,4.4,1.61,0.004,76,0.177,,7,94.8,28.2,,34.1,142.5,9.9,0.953,11.2,3735,3926,88.8,,,384,6.3,23.5,5856,1.71,red
Salem,16.7,0.571,10.6,-0.122,10.4,11.6,302.9,41.5,9.8,408.6,8.6,0.311,1.0,120.9,55,8.5,56.8,44.6,1215,2.6,2671,53.5,6.4,171,19.4,4.4,32.0,11.4,4.4,56.9,13.3,2.22,35.3,14.9,6.3,25294 ,0.01,1.7,21,20,37,36.3,47.8,-0.044,14.8,30.5,189,21.9,7.1,-0.01,0.008,227,0.113,14706,8,82.2,21.0,-0.012,29.7,0.2,21.4,0.931,14.1,4593,4666,85.9,68846 ,0.36,237,1.7,37.8,28481,0.28,wicked blue
Salisbury,3.6,0.319,1.2,-0.092,8.5,8.8,464.8,64.7,10.3,467.1,,0.151,3.6,125.4,21,1.2,4.8,50.8,1162,5.2,2201,51.6,5.93,131,11.2,0.0,68.3,1.2,15.7,19.4,3.7,2.39,29.9,15.1,5.6,24381 ,0.06,1.6,39.8,8,45.6,72.3,,-0.042,32.7,44.2,224,21.6,10.2,2.07,0.008,268,0.141,,8,80.9,37.1,,37.2,2.4,3.9,0.964,5.9,3439,3551,94.1,,,383,1.2,42.7,5976,0.71,red
Sandisfield,0.0,0.005,0.0,-0.16,10.9,5.5,306.0,,12,425.1,,0.0,21.9,66.7,28,,0.0,51.9,1398,1.1,2693,46.4,2.31,62,6.8,0.0,152.7,32.8,60.0,23.9,1.5,2.28,28.1,19.0,7,16435 ,-0.1,0,54.6,,46.9,77.8,,0.409,33.9,39.8,51,,1.9,1.09,-0.005,,0.181,,5,90,16.4,,41.5,296.7,3.3,0.94,6.6,2708,2950,93.4,,,477,0.0,,615,0.45,light blue
Sandwich,14.5,0.061,4.4,-0.154,8.7,7.0,464.3,28.6,9.5,435.1,18.7,0.045,6.3,80.3,58,8.2,16.4,46.7,1452,3.4,3065,51.8,6.17,189,19.3,0.0,69.7,3.9,9.8,6.8,3.9,2.61,21.3,25.6,0.8,31582 ,-0.05,0.5,19.8,15,43.5,83,3.8,0.322,19.1,26.9,164,16.8,5.4,7.55,-0.001,152,0.131,12087,18,86.9,54.2,-0.126,44.8,2.4,14.6,0.92,10.4,4515,4725,89.6,64939 ,0.21,411,4.4,18.7,15659,1.68,light blue
