town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Ware,3.0,0.15,1.0,-0.09,3.0,11.6,421.4,37.5,11.6,410.3,21.5,0.004,3.0,99.2,35,4.1,24.3,49.3,1266,5.0,2531,50.9,3.25,82,17.9,8.1,135.5,6.1,9.6,41.6,6.3,2.39,29.1,15.2,14,21823 ,0.0,1.2,21.3,7,43.1,59.9,11.5,-0.016,31.9,32.0,157,13.1,6.2,0.31,-0.002,201,0.129,11919,5,85.2,21.5,0.043,38.4,97.4,39.7,0.927,10.8,3003,3097,89.2,56397 ,0.3,383,4.1,41.2,6410,0.28,red
Wareham,5.0,0.077,2.7,-0.232,10.5,9.9,1076.9,120.3,10.4,462.1,17.3,0.038,6.0,131.1,20,3.7,28.9,63,1333,4.8,2118,51.9,,,7.4,3.7,88.3,1.8,7.6,22.8,13.8,2.38,29.7,12.4,5.8,20800 ,-0.09,1.8,23.4,15,44.9,76.5,25.3,0.244,28.5,43.2,218,26.9,10.3,1.88,0.005,406,0.08,11953,9,82,60.4,-0.119,42.3,5.0,24,0.945,7.5,2384,2410,92.5,60003 ,0.3,386,1.8,68.7,15091,0.33,light blue
Warren,1.9,0.155,1.9,-0.215,3.9,9.5,261.0,,10.8,411.5,,0.014,7.8,81.4,42,1.9,0.0,47.5,635,4.1,1300,50.2,2.98,39,9.7,0.0,134.7,7.8,37.7,46.1,5,2.54,25.4,13.5,7,16792 ,-0.04,0.8,19.5,8,42,74.4,,0.169,33.7,36.1,116,19.4,8.9,0.51,0.003,,0.026,,3,88.1,18.5,,37.9,67.9,9.1,0.954,8.6,2968,2982,91.4,,,362,3.9,,3203,0.36,red
Warwick,0.0,0.008,0.0,-0.094,0.0,3.8,371.8,,10.3,457.7,,0.0,12.8,71.8,35,,0.0,51.4,1068,6.4,2077,50.1,1.4,29,8.6,0.0,162.2,0,30.3,34,2.3,2.37,23.7,21.9,7.3,20021 ,-0.01,0,,26,49.5,82.9,,0.04,33.3,30.4,32,,1.5,0.82,0.004,,0.049,,3,94.9,26.9,,26.9,293.7,11.1,0.939,21.2,2987,3011,78.9,,,433,0.0,,563,0.45,medium blue
Washington,37.2,0.0,0.0,0.053,0.0,7.4,334.6,,9.4,442.4,,,37.2,119,24,,0.0,51.1,1137,0.0,1879,49.3,1.3,24,5.6,0.0,185.0,130.1,0.0,12,0,2.39,19.6,15.9,10.5,22745 ,-0.04,1.9,18.6,37,50.8,79.1,,0.217,52,31.1,20,,1.1,0.91,-0.006,,0.057,,4,93.5,27.9,,36.4,261.7,12.4,1.0,,,2612,65.2,,,493,37.2,,412,0.46,medium blue
Watertown,29.1,0.694,13.5,,6.0,14.9,63.0,24.8,8.9,479.1,17.1,0.326,0.9,62.9,86,10.7,21.0,37.4,1062,2.8,2305,53.1,8.05,186,23.1,7.5,18.2,2.5,8.6,56.2,9.6,2.15,35.8,23.5,7.6,35554 ,0.02,0.3,17.5,24,38.8,38.5,29.2,-0.07,13.3,20.0,183,24.0,7.9,-0.15,0.01,162,,16493,14,81.2,11.1,0.068,33.7,0.9,8.5,0.855,8.3,,,91.7,71129 ,0.45,228,5.0,17.2,22517,0.15,wicked blue
Wayland,50.8,0.126,16.2,-0.091,0.8,7.6,158.5,4.6,8.6,483.5,18,0.113,2.3,81,150,14.6,26.2,48.7,2410,2.1,4758,51.7,3.7,176,17.6,2.3,45.2,3.1,4.4,19.1,4,2.69,20.2,34.0,8.6,136900 ,-0.03,0.2,13.1,13,46.3,66.8,26.3,0.129,14.2,19.3,174,22.2,3.7,1.95,0.011,38,-0.007,15902,17,94.8,16.7,-0.018,57.5,0.8,5.8,0.92,7,11274,10529,93.0,84238 ,0.39,317,11.5,6,9884,0.24,wicked blue
Webster,7.8,0.264,0.6,-0.194,7.2,11.2,823.0,,10.2,460.2,20,0.054,1.2,81.1,,3.0,8.9,,,3.1,,51.6,,,,7.8,65.1,4.2,7.8,39.9,6.4,2.32,31.6,11.9,7.8,22257 ,-0.04,1.9,23.3,10,40.5,60.6,26.7,0.097,24.3,27.8,,20.2,,0.27,0.003,329,0.142,12786,5,83.9,16.9,-0.037,36.7,23.8,29.6,0.845,7.8,2670,2723,92.2,62586 ,0.38,294,3.6,66,11636,0.49,red
Wellesley,48.6,0.077,13.9,-0.003,2.5,8.6,49.3,13.1,8.5,383.1,17.4,0.052,1.4,154.3,97,28.2,95.8,51.4,2098,0.8,4072,55.9,3.99,163,15.2,2.1,24.5,2.5,1.7,39.1,4.1,2.78,20.7,31.9,7.5,134245 ,-0.12,0,5.7,10,37.2,60.9,22.9,-0.169,5.3,15.3,188,19.9,4.6,0.36,0.006,74,0.231,15085,20,88,10.2,0.012,55.9,0.4,6.5,0.814,9.5,11860,12198,90.5,78731 ,0.52,272,2.1,4.2,18947,0.18,wicked blue
Wellfleet,18.2,0.11,18.2,-0.07,7.3,6.5,2130.9,61.9,11,581.8,13.3,0.074,32.7,146.2,299,7.3,25.5,29.2,1704,5.5,5653,53.3,7.33,415,14.6,0.0,100.8,47.3,3.5,17.5,0.5,2.01,37.3,32.3,2.4,31815 ,-0.03,0,123.6,47,60.1,66.4,9.7,0.077,35.6,11.0,525,61.4,9.3,1.45,-0.001,195,0.164,22633,31,94.9,86.9,0.069,44.4,0.0,2.3,0.993,6.3,3474,3614,93.7,62809 ,0.17,590,3.6,21.6,2721,0.62,wicked blue
Wendell,0.0,0.029,0.0,-0.035,0.0,5.9,294.8,,11.9,574.3,,,11.8,40.1,41,,0.0,51,1219,3.5,1946,50.4,0.73,14,5.7,0.0,145.7,11.8,83.3,17.9,4.6,2.16,30.4,30.9,4.1,19980 ,-0.13,1.2,23.6,12,48.5,78.2,,0.029,41.3,15.3,26,,1.3,1.48,0.004,,0.08,,2,83.4,23.6,,21,105.8,10.7,0.854,,,2889,77.8,,,439,0.0,,684,0.72,wicked blue
Wenham,24.6,0.074,4.1,-0.22,6.2,4.7,172.3,14.3,9.7,356.1,,0.027,4.1,79.8,146,2.1,2.1,55.8,1594,1.8,2856,54.7,3.44,98,6.7,0.0,52.0,16.4,5.3,22.2,0.7,2.67,23.2,25.2,5.9,76432 ,-0.13,0.2,,12,28.6,70.2,,0.056,11.7,19.1,209,20.4,7.3,1.97,0.006,67,0.052,,15,95.6,17.8,,61.3,0.0,2.3,0.778,8.6,9482,9353,91.4,,,248,4.1,6.1,2894,0.35,medium blue
West Boylston,14.3,0.192,0.0,-0.149,11.7,6.8,178.6,35.1,9.2,431.9,17.8,0.14,7.8,84.5,38,9.1,18.3,48.3,1273,4.3,2442,44.6,3.05,74,18.6,1.3,72.3,6.5,11.0,22.9,2.9,2.43,25.9,16.1,9.6,27780 ,0.01,0.1,17,30,40.4,70.9,10.9,0.117,21.1,27.5,151,23.3,6.2,1.98,0.003,133,0.07,12384,10,79.3,23.5,-0.104,45.5,44.2,18.5,0.948,12.2,4349,4420,87.8,74304 ,0.34,320,2.6,7.7,5099,0.38,light blue
West Bridgewater,18.8,0.083,1.4,-0.172,17.4,11.3,212.6,51.8,10.8,447.5,19.7,0.027,8.7,196.6,84,11.6,15.9,44.6,1431,7.8,3100,50.8,7.98,247,15.6,0.0,87.9,1.4,8.1,28.8,5.2,2.63,23.3,14.1,12.6,29948 ,-0.04,0.7,30.4,10,42.4,72.5,7.6,-0.062,30.8,47.1,284,30.2,9.1,0.7,0.005,214,0.146,10952,10,68.7,40.8,0.043,46.6,10.1,15.2,0.977,8,4320,4489,92.0,50616 ,0.44,424,7.2,12.8,5177,0.45,red
West Brookfield,2.7,0.068,2.7,-0.217,5.4,9.5,791.7,,10.3,449.3,,0.01,10.8,31.3,61,5.4,10.8,52,795,5.4,1452,52.5,1.81,26,8.7,8.1,148.4,16.2,3.8,33.6,6.5,2.4,26.2,19.3,6.1,31101 ,0.08,0.3,24.3,14,46.9,79.7,,0.357,35.9,23.0,130,18.8,9,1.21,0.003,,0.044,,8,91.8,24.3,,44.2,193.9,8.9,0.985,9.5,2612,2702,90.5,,,409,8.1,,2524,0.52,red
West Newbury,14.2,0.08,7.1,-0.117,4.7,5.2,384.9,16.4,9.7,464.7,,0.03,4.7,61.4,70,7.1,7.1,49.6,1301,1.9,2521,50.3,2.49,63,6.5,0.0,89.3,11.8,7.2,24.8,4.4,2.8,13.9,23.5,6.1,52043 ,-0.01,0.7,4.7,2,43.6,95.1,,0.452,25,18.6,179,16.4,7.1,1.65,0.008,58,0.152,,8,96.5,42.5,,39.7,2.3,2.2,0.883,7.8,6742,7156,92.3,,,376,7.1,25.5,3199,0.87,medium blue
West Springfield,16.9,0.198,1.1,-0.102,9.2,13.0,165.2,95.4,9.9,463.2,15.5,0.071,2.5,80.4,47,12.7,18.3,46.4,1268,3.0,2727,51.2,5.5,150,8.4,1.8,63.2,0.7,10.0,29.2,9.1,2.33,34.3,10.8,8.4,23896 ,-0.04,1.1,17.3,13,39.6,46.8,28.6,0.113,16.3,29.1,237,29.8,8.7,0.39,0.001,479,0.007,13039,6,69.3,12.4,-0.025,34.6,22.5,24.1,0.911,7.4,3696,3533,92.6,62477 ,0.33,292,0.7,54.4,17287,0.21,light blue
West Stockbridge,7.7,0.03,15.3,-0.113,0.0,8.4,237.4,,9.8,505.4,,,30.6,89.6,31,,23.0,61.5,2017,3.1,2684,51.9,0.53,14,6.4,0.0,117.1,23,11.4,32.6,0,2.2,29.2,20.7,9.3,27401 ,0.0,0.8,68.9,23,48.8,64,,0.577,31.4,15.2,106,,4,0.12,-0.006,,0.097,,11,93.2,10.0,,36.4,53.9,2,0.972,,,4714,96.3,,,427,0.0,,1113,0.25,wicked blue
West Tisbury,0.0,0.017,14.6,-0.111,0.0,9.9,456.2,39.6,13.3,506.6,,,18.2,46,198,,0.0,56.7,2896,2.9,5111,52.3,1.74,89,5.8,0.0,98.3,3.6,15.9,15.8,2.7,2.26,29.4,21.9,2.5,27603 ,-0.09,0.4,,4,42.3,67.9,,0.261,42.3,10.9,336,,6.6,6.9,0.014,61,0.092,,20,95.6,83.9,,31.8,0.0,7,0.968,,,5131,81.7,,,640,7.3,7.1,2394,1.85,wicked blue
Westborough,38.3,0.204,2.2,-0.04,3.8,10.2,100.7,,8.6,472.8,16.4,0.131,2.7,130.8,61,16.4,30.1,52.9,2218,1.8,4073,51,4.45,181,15.1,0.5,46.0,5.5,4.1,13,7.5,2.57,25.9,23.9,5.3,49336 ,0.01,0.2,22.4,18,38.5,72.7,32,-0.056,12.1,26.0,140,18.5,3.4,1.48,0.003,109,0.175,14545,11,62.2,14.7,-0.011,38.2,9.3,10,0.954,8.2,7790,7972,91.8,75090 ,0.31,325,10.4,9.7,11598,0.45,medium blue
Westfield,11.9,0.177,0.5,-0.023,4.4,9.8,258.2,35.0,10.3,401.9,18.2,0.056,0.7,96.2,25,5.8,17.3,55.4,1298,3.7,2285,51.1,5.15,118,9.3,1.9,85.4,2.9,12.1,27.5,6.1,2.49,27.5,11.4,7.6,22803 ,0.02,0.8,11.9,10,38.6,56.1,16.9,0.244,20.6,29.1,149,20.6,6.5,0.96,0.001,186,0.171,12568,6,83.6,14.0,-0.045,40.4,62.3,31.1,0.967,8.3,3737,3924,91.7,60626 ,0.26,316,1.9,18.3,25061,0.42,red
Westford,38.7,0.156,2.7,-0.042,3.2,8.2,175.8,16.7,8.7,467.3,18.7,0.133,1.4,100.5,77,16.4,9.1,55,2091,3.8,3688,50.3,3.29,121,14.1,0.5,57.9,5.9,5.6,10.2,6.6,2.93,14.6,25.3,4.5,51165 ,0.0,0.2,16.4,8,41.5,88.1,23.5,-0.007,19.2,33.1,193,22.6,5.2,4.15,0.01,72,0.106,11449,10,85.5,17.2,-0.009,40.7,10.8,20,0.971,9,6901,7097,91.0,69319 ,0.4,342,4.6,4.9,16115,0.97,medium blue
Westhampton,0.0,0.028,6.2,-0.103,0.0,8.7,367.1,24.9,10.4,434.3,16.8,0.0,12.4,53.5,47,,6.2,64,1703,8.7,2663,51.9,0.99,26,11.2,0.0,169.0,0,0.0,17.6,1.4,2.58,17.2,29.0,5.9,31106 ,0.07,0,,19,46,89.8,5.3,0.314,41.7,24.1,32,,1.2,2.56,-0.002,,0.1,12375,10,94.5,17.4,0.044,36.4,405.2,13.3,0.913,11,4626,4650,89.0,57816 ,0.32,494,6.2,,1260,0.86,light blue
Westminster,4.1,0.07,4.1,-0.22,6.9,7.1,560.7,24.7,10.2,470.4,,0.03,6.9,134.8,50,1.4,19.2,52.7,1262,8.0,2330,50,4.9,114,8.3,1.4,117.1,5.5,15.7,16.5,4.1,2.68,18.8,19.7,7.5,31786 ,0.03,0.7,19.2,21,43.1,89.6,,0.433,39.6,31.7,196,24.6,8.4,1.63,0.003,190,0.101,,8,81.8,29.4,,35.2,94.5,3.6,0.967,9,3989,4241,91.0,,,414,1.4,13.6,5532,0.84,red
Weston,38.2,0.061,16.9,-0.017,2.7,5.9,78.1,13.2,8.6,456.4,22.6,0.051,1.8,232.3,106,25.8,61.3,48.8,2957,1.2,5711,52.3,4.37,250,18.9,0.0,45.6,12.4,1.9,21.8,4.2,2.82,19.8,39.5,8.3,281236 ,-0.26,0.1,0.9,4,42.9,68.7,27,0.217,13,23.6,237,24.7,4.2,1.24,0.01,44,0.106,19915,26,95.1,11.9,-0.012,67.7,0.0,4.2,0.79,18.3,16643,16921,81.7,81619 ,0.39,326,5.3,0.9,8178,0.15,medium blue
Westport,11.6,0.089,3.9,-0.142,12.2,6.5,1042.4,44.4,10.7,505.2,19.9,0.018,3.9,89.1,13,4.5,5.8,53.8,1079,5.9,2004,51.3,5.48,110,15.3,4.5,102.3,1.9,41.4,16.4,3.1,2.52,22.8,10.3,11.7,29848 ,-0.07,0.8,15.5,15,45.1,83.1,6.6,0.352,38.3,48.3,162,19.8,8.1,2.11,0.001,168,0.144,11718,12,92.5,62.6,-0.126,48.6,2.6,18.6,,6.6,2713,2799,93.4,62026 ,0.4,428,4.5,12.7,11598,0.58,red
Westwood,71.8,0.013,9.6,-0.055,3.4,6.4,82.8,24.5,8.6,447.7,18.6,0.001,1.4,155,87,11.6,91.0,52.9,2330,4.1,4407,52.4,4.33,191,12.1,0.7,28.3,1.4,,18.1,3.3,2.78,22.6,22.8,9.6,96045 ,-0.02,0,3.4,9,42.9,65.9,14.1,-0.131,9.1,23.6,211,24.5,4.8,1.5,0.007,92,0.172,14197,21,86.7,18.1,0.033,71.7,1.4,10.1,0.907,5.8,9019,9287,94.2,72827 ,0.46,334,0.7,18.2,10638,0.22,medium blue
Weymouth,20.1,0.23,3.9,-0.141,10.2,11.6,207.5,30.7,9.6,438.7,20.7,0.16,3.9,135.3,31,7.6,52.7,50.8,1017,7.0,1935,52.6,6.74,130,9.9,2.4,29.2,2.4,5.1,27,7.4,2.37,32.3,15.1,9.4,28108 ,-0.02,1,13.4,16,41.6,50.6,18.5,-0.035,18.2,35.7,165,19.0,8.6,0.64,0.007,149,0.135,12125,10,83.5,25.7,0.005,34.8,2.2,21.7,0.86,10.7,3541,3634,89.4,71418 ,0.41,324,3.7,34.4,35181,0.14,light blue
Whately,26.7,0.056,0.0,-0.017,0.0,8.7,267.4,46.6,11.3,494,13.6,0.0,26.7,155.1,33,,20.1,59.1,1739,3.3,2773,49.9,0.86,24,11.8,0.0,170.6,13.4,0.0,31.5,3,2.37,26,27.6,8.9,21614 ,0.05,0,33.4,20,47.5,69.9,3.3,-0.02,33.4,22.4,91,,3.3,0.59,0.003,152,0.044,16009,3,74.3,17.4,0.158,41.7,586.3,12.6,0.973,5.6,4180,4182,94.4,55388 ,0.24,442,6.7,0,1177,0.52,medium blue
Whitman,10.4,0.234,1.4,-0.145,6.2,11.5,108.4,34.3,9.7,405,,0.087,2.1,95,25,4.8,6.2,44.8,759,7.6,1693,51.2,9.58,162,11.6,8.3,55.7,0.7,10.7,36.2,5.1,2.73,23,11.9,7.9,25601 ,0.01,0.3,12.4,10,37.7,63.8,,0.115,25.4,48.1,181,17.8,10.7,0.72,0.006,129,0.186,,8,89.8,27.3,,36.1,5.5,7,0.969,5,3867,4054,95.0,,,356,0.7,29.3,9966,0.38,red
Wilbraham,28.1,0.087,2.8,-0.104,7.7,6.3,224.3,34.4,10.1,494.2,,0.069,2.1,115.7,59,12.0,22.5,62.3,1425,3.5,2287,52.7,4.95,113,8.1,3.5,77.4,0.7,6.5,12.2,4.7,2.63,21,15.0,10.7,39154 ,-0.04,0.2,11.3,7,46.8,72.8,,0.228,22.7,28.4,148,18.9,6.5,2.55,0.001,176,0.151,,12,88.7,16.7,,56.9,40.1,3.3,0.937,7.5,5237,5405,92.5,,,354,4.2,17.4,10509,0.47,red
Williamsburg,12.1,0.188,12.1,-0.073,0.0,10.5,233.7,,10,533.4,18.3,0.036,16.1,119.3,49,4.0,24.2,54.2,1212,4.0,2093,54.1,1.18,25,11.6,12.1,123.9,8.1,21.1,41.1,5.1,2.21,30.2,22.5,11.4,22510 ,0.02,0.4,48.3,56,47.7,74.2,4.3,0.417,34.2,11.6,77,8.0,3.7,0.21,-0.002,128,0.126,13041,9,91.5,15.3,-0.091,34.9,395.6,12.1,0.785,7.6,4221,4422,92.4,60469 ,0.07,434,24.2,8,1926,0.31,wicked blue
Williamstown,14.2,0.152,6.4,-0.126,2.6,4.5,78.7,35.0,9.2,331.2,16.9,0.067,2.6,58,63,9.0,25.8,56.8,1236,1.5,1931,53.4,,,14.3,0.0,49.6,7.7,24.2,35.1,2.9,2.15,32.8,33.2,9.2,30715 ,-0.1,0.3,41.3,15,43.2,45.9,18.6,-0.064,15.1,14.2,124,20.5,6.4,0.25,-0.004,,0.102,12561,8,88.7,5.5,-0.037,52.5,44.0,9.4,0.913,25.9,5262,5245,74.1,,0.19,227,2.6,,4810,0.1,wicked blue
Wilmington,39.4,0.029,2.7,-0.084,12.1,11.1,108.4,34.1,9,446.1,19.5,0.014,1.3,133.3,72,6.7,9.4,57.2,1722,7.7,3004,51,5.24,158,7.9,3.6,64.8,4.5,3.2,15.4,5.9,2.93,15.7,17.2,13.3,35471 ,0.01,0.4,6.3,13,41.2,75.2,10.8,-0.031,22.3,59.7,194,21.4,6.4,2.17,0.01,122,0.176,13321,11,74.4,20.6,-0.054,45.1,0.9,16,0.933,5.3,4343,4756,94.7,64169 ,0.43,385,2.7,12.3,15588,0.66,light blue
Winchendon,3.9,0.117,0.0,-0.176,3.9,10.3,263.1,25.2,10.4,381.9,19.9,0.013,4.9,50.1,16,1.0,3.9,60.1,1405,4.1,2335,49.8,2.6,61,4.9,2.9,90.4,2.9,24.5,35,6.2,2.64,23.8,13.2,3.5,19194 ,-0.04,1.1,21.4,4,41.2,79.4,10.4,0.315,32.8,36.5,104,18.3,4.4,0.56,0.003,247,0.014,12737,5,90.2,18.9,-0.141,39,204.2,49,0.911,15.2,2643,2535,84.8,68762 ,0.27,352,1.9,32.6,6311,0.82,red
Winchester,55.2,0.226,20.1,0.017,4.7,10.0,52.4,20.8,9,437.2,19.8,0.161,0.9,59,74,25.3,69.7,45,1672,2.2,3566,52.3,4.63,165,18.5,4.2,36.2,31.8,3.2,41.4,5.6,2.75,21.8,27.6,9.6,87306 ,-0.07,0.1,8,9,43.3,53.2,21.7,-0.107,9.7,25.5,174,21.4,4.9,0.38,0.01,93,0.152,11954,22,94.7,13.5,0.074,51,0.5,8.6,0.964,5.3,9557,9839,94.7,70128 ,0.4,302,3.3,5.5,15426,0.19,medium blue
Windsor,0.0,0.009,22.2,-0.108,0.0,1.1,511.7,,11.7,409.3,,,11.1,105.7,5,,0.0,67.1,1248,3.3,1861,49.2,0.97,18,4.4,11.1,242.7,11.1,7.0,25.6,4.1,2.44,19,25.6,4.6,23838 ,-0.13,1.1,22.2,22,48.6,81.9,,0.15,51.2,5.4,29,,1.5,1.42,-0.006,,0.075,,6,94.2,15.6,,30,883.7,9.1,0.916,,,2408,87.5,,,505,0.0,,664,0.76,medium blue
Winthrop,15.4,0.541,7.4,-0.149,14.9,9.7,426.9,43.4,9.5,407.2,18.8,0.214,1.7,37.4,26,3.4,4.0,43.9,947,3.9,1847,51.7,6.3,116,22.9,6.9,38.8,2.9,3.7,59.6,8.1,2.24,34.4,12.9,9,28149 ,0.07,0.9,12,11,42.6,34.4,14.1,-0.17,13.1,24.4,126,18.2,6.8,-0.1,0.014,104,0.272,11569,12,92.9,25.2,-0.02,36.3,0.6,20.6,0.892,10.3,4564,4629,89.7,60257 ,0.43,252,0.6,21.8,11458,-0.02,light blue
Woburn,29.4,0.267,2.6,-0.022,11.8,13.5,80.8,36.3,9.3,491.9,17.4,0.125,1.0,166.1,44,6.8,22.6,45.8,1267,6.5,2704,51.6,6.34,172,20.5,2.6,39.9,2.4,8.1,28.7,8.5,2.43,29.9,17.4,10.6,31125 ,-0.02,1,13.1,10,39.6,54.2,24.4,-0.018,18.4,38.5,215,20.6,7.9,0.86,0.01,172,0.049,13663,9,69.7,15.2,0.007,37.6,0.3,8.6,0.909,8.9,3554,3553,91.1,66669 ,0.37,350,6.0,24.7,25704,0.24,light blue
Worcester,9.1,0.369,0.9,-0.197,14.6,13.7,76.7,113.7,10.1,358.8,19.3,,0.3,140.2,45,7.0,90.1,50.6,1230,1.9,2409,51.3,7.31,176,6.7,3.1,21.5,15.3,4.7,49.6,16.8,2.46,31.8,12.7,6.5,18344 ,0.0,2.7,16,10,34.3,42.3,64.5,-0.125,9.5,41.1,224,25.5,9.3,-0.11,0.003,351,0.104,13489,4,71.9,13.0,0.071,33.4,6.6,43.2,0.917,,,3492,71.7,86005 ,0.3,200,0.9,95.9,103767,0.24,medium blue
Worthington,8.7,0.016,0.0,-0.09,0.0,9.5,285.5,,10.8,491.3,,0.0,17.3,30.3,,8.7,26.0,,,4.3,,50.6,,,,0.0,250.4,34.6,67.1,27.4,9.5,2.21,26.1,19.2,6.2,27579 ,0.09,0,34.6,26,50.7,80.5,,0.476,53.6,15.3,,,,1.5,-0.002,,-0.001,,9,93.1,19.9,,35.3,563.3,6.5,0.678,9.6,3135,3069,90.5,,,495,8.7,,897,0.58,medium blue
Wrentham,31.9,0.087,0.9,-0.101,2.7,7.2,351.4,8.2,9.6,426.4,20.4,0.051,4.6,139.2,35,5.5,7.3,52,1551,5.7,2908,50.7,5.5,160,14.5,2.7,76.3,2.7,3.5,14.2,3.4,2.81,19.5,19.2,2.9,43645 ,0.07,0.5,16.4,18,43,88.6,7.4,0.179,29.5,35.1,165,18.1,5.7,1.05,0.007,76,0.109,11296,14,79.5,27.3,-0.118,42.5,10.0,12.8,0.91,8.5,5475,5573,91.5,67894 ,0.29,379,2.7,5.4,7899,1.09,light blue
Yarmouth,8.0,0.146,3.8,-0.182,10.9,8.7,676.2,168.2,10.4,496.2,,0.092,11.3,97.4,74,8.8,17.7,45.7,1164,4.1,2400,53.5,10.14,243,10.4,5.0,,2.5,3.9,6,5,2.1,35.3,22.0,3.2,24547 ,-0.12,1,27.3,18,51.4,47.8,,0.28,18.8,21.6,244,29.7,10.2,6.22,-0.001,305,0.201,,19,89.6,51.4,,56,1.7,1.8,0.916,5.8,2894,3003,94.2,,,398,4.2,61.3,18260,0.41,light blue
